"team","vegas_proj_wins","date"
"Orlando Magic",45.6666666666667,2025-11-07
"Orlando Magic",47,2025-11-08
"Orlando Magic",47,2025-11-09
"Orlando Magic",45.5,2025-11-10
"Orlando Magic",45.5,2025-11-11
"Orlando Magic",45.5,2025-11-12
"Orlando Magic",46.5,2025-11-13
"Orlando Magic",46.6666666666667,2025-11-14
"Orlando Magic",46.6666666666667,2025-11-15
"Orlando Magic",46.5,2025-11-16
"Orlando Magic",47,2025-11-17
"Orlando Magic",46.6666666666667,2025-11-18
"Orlando Magic",46.8333333333333,2025-11-19
"Orlando Magic",47,2025-11-20
"Orlando Magic",47.5,2025-11-21
"Orlando Magic",47.5,2025-11-22
"Orlando Magic",47.5,2025-11-23
"Orlando Magic",47.5,2025-11-24
"Orlando Magic",47.5,2025-11-25
"Orlando Magic",47.5,2025-11-26
"Philadelphia 76ers",44.5,2025-10-29
"Philadelphia 76ers",44.5,2025-10-30
"Philadelphia 76ers",44.5,2025-10-31
"Philadelphia 76ers",43.75,2025-11-01
"Philadelphia 76ers",43.75,2025-11-02
"Philadelphia 76ers",43.8333333333333,2025-11-03
"Philadelphia 76ers",43.5,2025-11-04
"Philadelphia 76ers",44.8333333333333,2025-11-05
"Philadelphia 76ers",43.5,2025-11-06
"Philadelphia 76ers",43.5,2025-11-07
"Philadelphia 76ers",43.8333333333333,2025-11-08
"Philadelphia 76ers",46,2025-11-09
"Philadelphia 76ers",44.5,2025-11-10
"Philadelphia 76ers",44.5,2025-11-11
"Philadelphia 76ers",44.6666666666667,2025-11-12
"Philadelphia 76ers",44.6666666666667,2025-11-13
"Philadelphia 76ers",44.5,2025-11-14
"Philadelphia 76ers",44.6666666666667,2025-11-15
"Philadelphia 76ers",45,2025-11-16
"Philadelphia 76ers",44.6666666666667,2025-11-17
"Philadelphia 76ers",45.5,2025-11-18
"Philadelphia 76ers",45.5,2025-11-19
"Philadelphia 76ers",45.3333333333333,2025-11-20
"Philadelphia 76ers",45,2025-11-21
"Philadelphia 76ers",46,2025-11-22
"Philadelphia 76ers",46,2025-11-23
"Philadelphia 76ers",43.5,2025-11-24
"Philadelphia 76ers",44,2025-11-25
"Philadelphia 76ers",44,2025-11-26
"Phoenix Suns",29.875,2025-10-29
"Phoenix Suns",29.75,2025-10-30
"Phoenix Suns",29.375,2025-10-31
"Phoenix Suns",29.3333333333333,2025-11-01
"Phoenix Suns",28,2025-11-02
"Phoenix Suns",29.5,2025-11-03
"Phoenix Suns",29.5,2025-11-04
"Phoenix Suns",29.5,2025-11-05
"Phoenix Suns",29.5,2025-11-06
"Phoenix Suns",29.5,2025-11-07
"Phoenix Suns",30.125,2025-11-08
"Phoenix Suns",31.25,2025-11-09
"Phoenix Suns",31.625,2025-11-10
"Phoenix Suns",32,2025-11-11
"Phoenix Suns",32,2025-11-12
"Phoenix Suns",33,2025-11-13
"Phoenix Suns",34,2025-11-14
"Phoenix Suns",34.5,2025-11-15
"Phoenix Suns",34.5,2025-11-16
"Phoenix Suns",34.5,2025-11-17
"Phoenix Suns",34.1666666666667,2025-11-18
"Phoenix Suns",34.5,2025-11-19
"Phoenix Suns",37.5,2025-11-20
"Phoenix Suns",37.5,2025-11-21
"Phoenix Suns",37.5,2025-11-22
"Phoenix Suns",38.5,2025-11-23
"Phoenix Suns",38.5,2025-11-24
"Phoenix Suns",38,2025-11-25
"Phoenix Suns",37.75,2025-11-26
"Portland Trail Blazers",35.125,2025-10-29
"Portland Trail Blazers",35,2025-10-30
"Portland Trail Blazers",35.375,2025-10-31
"Portland Trail Blazers",38.75,2025-11-01
"Portland Trail Blazers",38.75,2025-11-02
"Portland Trail Blazers",39.3333333333333,2025-11-03
"Portland Trail Blazers",38.3333333333333,2025-11-04
"Portland Trail Blazers",38.5,2025-11-05
"Portland Trail Blazers",38.3333333333333,2025-11-06
"Portland Trail Blazers",38.3333333333333,2025-11-07
"Portland Trail Blazers",39.5,2025-11-08
"Portland Trail Blazers",38,2025-11-09
"Portland Trail Blazers",38,2025-11-10
"Portland Trail Blazers",38.25,2025-11-11
"Portland Trail Blazers",38.1666666666667,2025-11-12
"Portland Trail Blazers",39.3333333333333,2025-11-13
"Portland Trail Blazers",39.3333333333333,2025-11-14
"Portland Trail Blazers",39.3333333333333,2025-11-15
"Portland Trail Blazers",39,2025-11-16
"Portland Trail Blazers",39.5,2025-11-17
"Portland Trail Blazers",39.1666666666667,2025-11-18
"Portland Trail Blazers",39.5,2025-11-19
"Portland Trail Blazers",38.5,2025-11-20
"Portland Trail Blazers",38.3333333333333,2025-11-21
"Portland Trail Blazers",38.3333333333333,2025-11-22
"Portland Trail Blazers",38,2025-11-23
"Portland Trail Blazers",38,2025-11-24
"Portland Trail Blazers",38.5,2025-11-25
"Portland Trail Blazers",38,2025-11-26
"Sacramento Kings",31.3333333333333,2025-10-29
"Sacramento Kings",31.5,2025-10-30
"Sacramento Kings",31.5,2025-10-31
"Sacramento Kings",31.5,2025-11-01
"Sacramento Kings",31,2025-11-02
"Sacramento Kings",31,2025-11-03
"Sacramento Kings",31,2025-11-04
"Sacramento Kings",31,2025-11-05
"Sacramento Kings",31.1666666666667,2025-11-06
"Sacramento Kings",31.1666666666667,2025-11-07
"Sacramento Kings",32,2025-11-08
"Sacramento Kings",32.5,2025-11-09
"Sacramento Kings",32.5,2025-11-10
"Sacramento Kings",31.75,2025-11-11
"Sacramento Kings",31.5,2025-11-12
"Sacramento Kings",29.5,2025-11-13
"Sacramento Kings",29,2025-11-14
"Sacramento Kings",28.25,2025-11-15
"Sacramento Kings",28.25,2025-11-16
"Sacramento Kings",28.5,2025-11-17
"Sacramento Kings",28.1666666666667,2025-11-18
"Sacramento Kings",28.5,2025-11-19
"Sacramento Kings",28.5,2025-11-20
"Sacramento Kings",26.75,2025-11-21
"Sacramento Kings",26,2025-11-22
"Sacramento Kings",26,2025-11-23
"Sacramento Kings",26.5,2025-11-24
"Sacramento Kings",26.8333333333333,2025-11-25
"Sacramento Kings",26.75,2025-11-26
"San Antonio Spurs",46.5,2025-10-29
"San Antonio Spurs",46.5,2025-10-30
"San Antonio Spurs",46.5,2025-10-31
"San Antonio Spurs",47.25,2025-11-01
"San Antonio Spurs",47.25,2025-11-02
"San Antonio Spurs",46.5,2025-11-03
"San Antonio Spurs",46.5,2025-11-04
"San Antonio Spurs",46.5,2025-11-05
"San Antonio Spurs",46.6666666666667,2025-11-06
"San Antonio Spurs",46.8333333333333,2025-11-07
"San Antonio Spurs",46.5,2025-11-08
"San Antonio Spurs",46.5,2025-11-09
"San Antonio Spurs",46.5,2025-11-10
"San Antonio Spurs",48,2025-11-11
"San Antonio Spurs",48,2025-11-12
"San Antonio Spurs",47,2025-11-13
"San Antonio Spurs",47,2025-11-14
"San Antonio Spurs",47.25,2025-11-15
"San Antonio Spurs",47.25,2025-11-16
"San Antonio Spurs",47.25,2025-11-17
"San Antonio Spurs",44.5,2025-11-18
"San Antonio Spurs",44.5,2025-11-19
"San Antonio Spurs",44.875,2025-11-20
"San Antonio Spurs",45.5,2025-11-21
"San Antonio Spurs",45.5,2025-11-22
"San Antonio Spurs",45.5,2025-11-23
"San Antonio Spurs",45.75,2025-11-24
"San Antonio Spurs",45.6666666666667,2025-11-25
"San Antonio Spurs",45.5,2025-11-26
"Toronto Raptors",39.5,2025-10-29
"Toronto Raptors",37.875,2025-10-30
"Toronto Raptors",37.75,2025-10-31
"Toronto Raptors",38.6666666666667,2025-11-01
"Toronto Raptors",38.25,2025-11-02
"Toronto Raptors",38.5,2025-11-03
"Toronto Raptors",38.5,2025-11-04
"Toronto Raptors",39.5,2025-11-05
"Toronto Raptors",39.5,2025-11-06
"Toronto Raptors",39.375,2025-11-07
"Toronto Raptors",40,2025-11-08
"Toronto Raptors",40,2025-11-09
"Toronto Raptors",40,2025-11-10
"Toronto Raptors",41,2025-11-11
"Toronto Raptors",40,2025-11-12
"Toronto Raptors",40,2025-11-13
"Toronto Raptors",42,2025-11-14
"Toronto Raptors",42.5,2025-11-15
"Toronto Raptors",42.5,2025-11-16
"Toronto Raptors",42.5,2025-11-17
"Toronto Raptors",44.5,2025-11-18
"Toronto Raptors",44.8333333333333,2025-11-19
"Toronto Raptors",45.5,2025-11-20
"Toronto Raptors",45.5,2025-11-21
"Toronto Raptors",45.5,2025-11-22
"Toronto Raptors",45.5,2025-11-23
"Toronto Raptors",45.5,2025-11-24
"Toronto Raptors",46.5,2025-11-25
"Toronto Raptors",46.5,2025-11-26
"Utah Jazz",22.8333333333333,2025-10-29
"Utah Jazz",23.1666666666667,2025-10-30
"Utah Jazz",23.1666666666667,2025-10-31
"Utah Jazz",23,2025-11-01
"Utah Jazz",23,2025-11-02
"Utah Jazz",21.5,2025-11-03
"Utah Jazz",22.6666666666667,2025-11-04
"Utah Jazz",22.75,2025-11-05
"Utah Jazz",20.5,2025-11-06
"Utah Jazz",20.75,2025-11-07
"Utah Jazz",20.75,2025-11-08
"Utah Jazz",20.75,2025-11-09
"Utah Jazz",20.6666666666667,2025-11-10
"Utah Jazz",21,2025-11-11
"Utah Jazz",20.5,2025-11-12
"Utah Jazz",20.5,2025-11-13
"Utah Jazz",20.3333333333333,2025-11-14
"Utah Jazz",20.3333333333333,2025-11-15
"Utah Jazz",20,2025-11-16
"Utah Jazz",21.5,2025-11-17
"Utah Jazz",21.3333333333333,2025-11-18
"Utah Jazz",21.3333333333333,2025-11-19
"Utah Jazz",21,2025-11-20
"Utah Jazz",21,2025-11-21
"Utah Jazz",21,2025-11-22
"Utah Jazz",21,2025-11-23
"Utah Jazz",21,2025-11-24
"Utah Jazz",21.1666666666667,2025-11-25
"Utah Jazz",21,2025-11-26
"Washington Wizards",19,2025-10-29
"Washington Wizards",19,2025-10-30
"Washington Wizards",19.25,2025-10-31
"Washington Wizards",19.25,2025-11-01
"Washington Wizards",19.25,2025-11-02
"Washington Wizards",19.1666666666667,2025-11-03
"Washington Wizards",19.5,2025-11-04
"Washington Wizards",19.5,2025-11-05
"Washington Wizards",19.5,2025-11-06
"Washington Wizards",19.5,2025-11-07
"Washington Wizards",19.5,2025-11-08
"Washington Wizards",18,2025-11-09
"Washington Wizards",18.6666666666667,2025-11-10
"Washington Wizards",19,2025-11-11
"Washington Wizards",18.8333333333333,2025-11-12
"Washington Wizards",17.8333333333333,2025-11-13
"Washington Wizards",17.6666666666667,2025-11-14
"Washington Wizards",17.1666666666667,2025-11-15
"Washington Wizards",17.5,2025-11-16
"Washington Wizards",16.5,2025-11-17
"Washington Wizards",15,2025-11-18
"Washington Wizards",15,2025-11-19
"Washington Wizards",15,2025-11-20
"Washington Wizards",15,2025-11-21
"Washington Wizards",15,2025-11-22
"Washington Wizards",15,2025-11-23
"Washington Wizards",15,2025-11-24
"Washington Wizards",15.3333333333333,2025-11-25
"Washington Wizards",15.3333333333333,2025-11-26
