"team","vegas_proj_wins","date"
"Chicago Bulls",41.75,2025-11-08
"Chicago Bulls",41.5,2025-11-09
"Chicago Bulls",42.3333333333333,2025-11-10
"Chicago Bulls",41.8333333333333,2025-11-11
"Chicago Bulls",41.8333333333333,2025-11-12
"Chicago Bulls",41.8333333333333,2025-11-13
"Chicago Bulls",41.8333333333333,2025-11-14
"Chicago Bulls",41.8333333333333,2025-11-15
"Chicago Bulls",41.5,2025-11-16
"Chicago Bulls",41.5,2025-11-17
"Chicago Bulls",41.5,2025-11-18
"Chicago Bulls",41.5,2025-11-19
"Chicago Bulls",42.8333333333333,2025-11-20
"Chicago Bulls",42.8333333333333,2025-11-21
"Chicago Bulls",42.8333333333333,2025-11-22
"Chicago Bulls",42.8333333333333,2025-11-23
"Chicago Bulls",42.75,2025-11-24
"Chicago Bulls",41.6666666666667,2025-11-25
"Chicago Bulls",41.75,2025-11-26
"Cleveland Cavaliers",57.5,2025-10-29
"Cleveland Cavaliers",56.5,2025-10-30
"Cleveland Cavaliers",56.5,2025-10-31
"Cleveland Cavaliers",55.5,2025-11-01
"Cleveland Cavaliers",55.75,2025-11-02
"Cleveland Cavaliers",55.5,2025-11-03
"Cleveland Cavaliers",55.6666666666667,2025-11-04
"Cleveland Cavaliers",55.6666666666667,2025-11-05
"Cleveland Cavaliers",55.5,2025-11-06
"Cleveland Cavaliers",55.5,2025-11-07
"Cleveland Cavaliers",55.75,2025-11-08
"Cleveland Cavaliers",55.5,2025-11-09
"Cleveland Cavaliers",55.5,2025-11-10
"Cleveland Cavaliers",55.8333333333333,2025-11-11
"Cleveland Cavaliers",55.8333333333333,2025-11-12
"Cleveland Cavaliers",56.375,2025-11-13
"Cleveland Cavaliers",56,2025-11-14
"Cleveland Cavaliers",55.8333333333333,2025-11-15
"Cleveland Cavaliers",55.8333333333333,2025-11-16
"Cleveland Cavaliers",55.75,2025-11-17
"Cleveland Cavaliers",55.5,2025-11-18
"Cleveland Cavaliers",55.5,2025-11-19
"Cleveland Cavaliers",56,2025-11-20
"Cleveland Cavaliers",56,2025-11-21
"Cleveland Cavaliers",56,2025-11-22
"Cleveland Cavaliers",56,2025-11-23
"Cleveland Cavaliers",56,2025-11-24
